"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",,33,
"2021",,42,7
"2022",,91,1
"2023",,339,
"2024",,566,9
"2025",36,867,12
"2026",36,904,12
