,coef,std err,t,p,ci_lower,ci_upper
const,-4.813879145645768,0.5565973296198956,-8.648764357050009,1.9878713941601234e-07,-5.993812774239249,-3.633945517052288
PKB per capita (PPS) (X2),7.79350895471016e-05,1.524629479328901e-05,5.111739645845391,0.00010453658949982625,4.561438842132252e-05,0.00011025579067288069
Wskaźnik cen energii/paliwa (X3),-1.188606187772452,0.5915147615369689,-2.0094277692817406,0.06166952706230022,-2.4425614653221253,0.06534908977722109
Dotacje (X4),0.29644727201312787,0.06004062450508669,4.937444845997773,0.0001484984454189764,0.1691668339562557,0.42372771007000004
Ładowarki na mieszkańców (X5),0.000237363029444218,0.00014370051744549625,1.6517896641133998,0.11806408265708979,-6.72684589892909e-05,0.0005419945178777269
