"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",,,
"2021",19718,30077,1227
"2022",29259,44320,1518
"2023",39046,60171,1550
"2024",50373,73798,1784
"2025",54965,90433,1444
"2026",54162,100613,1337
