"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",1,587,43
"2021",1,1312,71
"2022",1,2654,101
"2023",3,3301,85
"2024",8,4369,89
"2025",6,4971,87
"2026",5,4744,89
