panstwo,rok,pkb_per_capita_pps
Hiszpania,2019,28663.4
Hiszpania,2020,25131.2
Hiszpania,2021,28285.0
Hiszpania,2022,31781.2
Hiszpania,2023,34768.5
Hiszpania,2024,36413.1
Hiszpania,2025,38135.7
Holandia,2008,36251.2
Holandia,2009,33941.7
Holandia,2010,34297.2
Holandia,2011,35027.4
Holandia,2012,35189.9
Holandia,2013,35818.4
Holandia,2014,35659.4
Holandia,2015,36639.1
Holandia,2016,36929.7
Holandia,2017,38491.7
Holandia,2018,39886.4
Holandia,2019,40548.0
Holandia,2020,39986.8
Holandia,2021,43741.8
Holandia,2022,48540.1
Holandia,2023,50216.4
Holandia,2024,53149.4
Holandia,2025,55152.1
Irlandia,2008,34204.1
Irlandia,2009,31276.3
Irlandia,2010,32659.9
Irlandia,2011,33863.3
Irlandia,2012,34448.0
Irlandia,2013,35185.4
Irlandia,2014,37694.1
Irlandia,2015,51462.7
Irlandia,2016,50754.0
Irlandia,2017,55280.2
Irlandia,2018,58626.5
Irlandia,2019,59944.4
Irlandia,2020,62296.2
Irlandia,2021,74720.4
Irlandia,2022,86108.3
Irlandia,2023,82972.1
Irlandia,2024,88342.7
Irlandia,2025,93359.9
Islandia,2008,34261.6
Islandia,2009,31759.5
Islandia,2010,30803.3
Islandia,2011,31494.6
Islandia,2012,32044.0
Islandia,2013,32898.3
Islandia,2014,33929.2
Islandia,2015,36442.9
Islandia,2016,38371.4
Islandia,2017,39430.0
Islandia,2018,40192.1
Islandia,2019,40841.8
Islandia,2020,37357.2
Islandia,2021,41216.5
Islandia,2022,48802.5
Islandia,2023,52215.5
Islandia,2024,52398.9
Islandia,2025,53168.0
Litwa,2008,16091.7
Litwa,2009,13722.4
Litwa,2010,15009.4
Litwa,2011,16917.2
Litwa,2012,18141.8
Litwa,2013,19173.6
Litwa,2014,20073.2
Litwa,2015,20741.3
Litwa,2016,21376.1
Litwa,2017,23073.2
Litwa,2018,24746.4
Litwa,2019,26382.0
Litwa,2020,26359.5
Litwa,2021,29277.0
Litwa,2022,31269.3
Litwa,2023,32931.3
Litwa,2024,34935.9
Litwa,2025,36174.4
Luksemburg,2008,70514.1
Luksemburg,2009,65559.9
Luksemburg,2010,68312.3
Luksemburg,2011,70256.2
Luksemburg,2012,71288.2
Luksemburg,2013,72585.6
Luksemburg,2014,75199.8
Luksemburg,2015,77581.8
Luksemburg,2016,78464.2
Luksemburg,2017,78896.1
Luksemburg,2018,78985.2
Luksemburg,2019,78744.5
Luksemburg,2020,77888.8
Luksemburg,2021,87098.2
Luksemburg,2022,90395.4
Luksemburg,2023,95129.1
Luksemburg,2024,97690.2
Luksemburg,2025,99621.3
Malta,2008,20677.9
Malta,2009,20211.9
Malta,2010,21883.2
Malta,2011,21922.3
Malta,2012,22697.4
Malta,2013,23895.4
Malta,2014,25209.3
Malta,2015,27577.1
Malta,2016,28475.6
Malta,2017,31415.2
Malta,2018,32639.5
Malta,2019,33381.9
Malta,2020,31931.9
Malta,2021,36291.8
Malta,2022,37451.1
Malta,2023,41830.7
Malta,2024,43805.0
Malta,2025,45952.5
Niemcy,2008,30326.4
Niemcy,2009,28855.4
Niemcy,2010,30625.5
Niemcy,2011,32333.3
Niemcy,2012,32681.9
Niemcy,2013,33201.2
Niemcy,2014,34493.8
Niemcy,2015,35148.9
Niemcy,2016,36132.4
Niemcy,2017,37613.5
Niemcy,2018,38726.7
Niemcy,2019,39216.9
Niemcy,2020,38270.8
Niemcy,2021,40874.4
Niemcy,2022,43577.4
Niemcy,2023,45519.2
Niemcy,2024,47008.3
Niemcy,2025,48621.8
Norwegia,2008,48913.2
Norwegia,2009,42840.0
Norwegia,2010,45002.2
Norwegia,2011,47614.2
Norwegia,2012,49733.3
Norwegia,2013,49935.3
Norwegia,2014,48881.4
Norwegia,2015,45067.6
Norwegia,2016,42535.3
Norwegia,2017,45903.0
Norwegia,2018,49244.0
Norwegia,2019,47886.8
Norwegia,2020,44580.4
Norwegia,2021,58819.5
Norwegia,2022,80200.6
Norwegia,2023,67311.7
Norwegia,2024,66273.8
Norwegia,2025,66164.8
Polska,2008,14261.4
Polska,2009,14569.5
Polska,2010,15891.8
Polska,2011,17002.3
Polska,2012,17524.2
Polska,2013,17640.5
Polska,2014,18251.0
Polska,2015,19407.7
Polska,2016,19706.9
Polska,2017,20730.1
Polska,2018,21945.0
Polska,2019,23348.0
Polska,2020,23916.5
Polska,2021,26197.3
Polska,2022,28144.8
Polska,2023,29519.6
Polska,2024,31463.0
Polska,2025,33816.5
Portugalia,2008,20693.8
Portugalia,2009,19984.4
Portugalia,2010,20662.0
Portugalia,2011,19941.7
Portugalia,2012,19520.9
Portugalia,2013,20153.9
Portugalia,2014,20580.3
Portugalia,2015,21240.3
Portugalia,2016,21877.6
Portugalia,2017,22559.7
Portugalia,2018,23548.4
Portugalia,2019,24464.9
Portugalia,2020,22782.1
Portugalia,2021,24550.2
Portugalia,2022,27841.5
Portugalia,2023,31107.5
Portugalia,2024,32937.1
Portugalia,2025,33825.0
Rumunia,2008,13023.6
Rumunia,2009,12562.6
Rumunia,2010,13138.8
Rumunia,2011,14012.6
Rumunia,2012,14625.5
Rumunia,2013,14200.3
Rumunia,2014,14783.2
Rumunia,2015,15543.5
Rumunia,2016,16602.2
Rumunia,2017,18502.8
Rumunia,2018,19915.4
Rumunia,2019,21713.9
Rumunia,2020,21808.9
Rumunia,2021,23919.2
Rumunia,2022,25908.1
Rumunia,2023,28715.8
Rumunia,2024,30769.5
Rumunia,2025,32353.1
Szwecja,2008,32526.7
Szwecja,2009,30274.4
Szwecja,2010,31764.0
Szwecja,2011,33037.9
Szwecja,2012,33390.9
Szwecja,2013,33278.6
Szwecja,2014,33570.2
Szwecja,2015,35062.0
Szwecja,2016,34881.8
Szwecja,2017,35296.2
Szwecja,2018,35915.6
Szwecja,2019,36994.5
Szwecja,2020,36665.9
Szwecja,2021,39670.2
Szwecja,2022,40905.8
Szwecja,2023,42508.5
Szwecja,2024,44772.2
Szwecja,2025,46343.6
Słowacja,2008,18312.5
Słowacja,2009,17320.9
Słowacja,2010,19079.4
Słowacja,2011,19526.4
Słowacja,2012,19960.2
Słowacja,2013,20266.5
Słowacja,2014,20863.6
Słowacja,2015,21683.1
Słowacja,2016,20747.7
Słowacja,2017,20778.3
Słowacja,2018,21370.9
Słowacja,2019,22107.4
Słowacja,2020,22561.3
Słowacja,2021,24479.7
Słowacja,2022,25517.5
Słowacja,2023,28487.6
Słowacja,2024,29808.2
Słowacja,2025,31138.8
Słowenia,2008,22855.5
Słowenia,2009,20535.6
Słowenia,2010,20877.2
Słowenia,2011,21398.9
Słowenia,2012,21261.9
Słowenia,2013,21394.3
Słowenia,2014,21914.4
Słowenia,2015,22534.2
Słowenia,2016,23327.5
Słowenia,2017,24858.0
Słowenia,2018,26214.2
Słowenia,2019,27550.6
Słowenia,2020,26676.9
Słowenia,2021,29298.0
Słowenia,2022,32351.9
Słowenia,2023,35110.5
Słowenia,2024,36150.6
Słowenia,2025,38052.2
Turcja,2008,12526.6
Turcja,2009,11746.5
Turcja,2010,13223.2
Turcja,2011,14693.2
Turcja,2012,15315.2
Turcja,2013,16197.4
Turcja,2014,17146.3
Turcja,2015,18149.0
Turcja,2016,17963.7
Turcja,2017,18744.7
Turcja,2018,18609.6
Turcja,2019,18077.9
Turcja,2020,17889.0
Turcja,2021,19620.1
Turcja,2022,23418.1
Turcja,2023,25721.4
Turcja,2024,27621.2
Wielka_Brytania,2008,28429.9
Wielka_Brytania,2009,26455.4
Wielka_Brytania,2010,27580.1
Wielka_Brytania,2011,27687.2
Wielka_Brytania,2012,28280.7
Wielka_Brytania,2013,28832.6
Wielka_Brytania,2014,29596.5
Wielka_Brytania,2015,30610.3
Wielka_Brytania,2016,30651.7
Wielka_Brytania,2017,31430.0
Wielka_Brytania,2018,31789.2
Wielka_Brytania,2019,32245.8
Węgry,2008,16070.9
Węgry,2009,15620.6
Węgry,2010,16421.6
Węgry,2011,17133.8
Węgry,2012,17148.0
Węgry,2013,17750.4
Węgry,2014,18489.4
Węgry,2015,19369.1
Węgry,2016,19574.4
Węgry,2017,20419.5
Węgry,2018,21875.5
Węgry,2019,23171.4
Węgry,2020,22731.5
Węgry,2021,24805.4
Węgry,2022,27305.6
Węgry,2023,28968.6
Węgry,2024,30445.5
Węgry,2025,31719.3
Włochy,2008,27489.2
Włochy,2009,26046.1
Włochy,2010,26477.9
Włochy,2011,27119.5
Włochy,2012,26792.3
Włochy,2013,26316.4
Włochy,2014,26280.2
Włochy,2015,26880.4
Włochy,2016,28121.1
Włochy,2017,28946.7
Włochy,2018,29555.4
Włochy,2019,30348.1
Włochy,2020,28386.4
Włochy,2021,31782.5
Włochy,2022,35348.2
Włochy,2023,37697.0
Włochy,2024,39068.5
Włochy,2025,39949.2
Łotwa,2008,14458.6
Łotwa,2009,12505.9
Łotwa,2010,13130.4
Łotwa,2011,13880.6
Łotwa,2012,15139.1
Łotwa,2013,15770.2
Łotwa,2014,16462.6
Łotwa,2015,17353.1
Łotwa,2016,17925.2
Łotwa,2017,18999.8
Łotwa,2018,20230.2
Łotwa,2019,20948.7
Łotwa,2020,20911.4
Łotwa,2021,23542.2
Łotwa,2022,24939.3
Łotwa,2023,26755.5
Łotwa,2024,27536.5
Łotwa,2025,29518.5
