panstwo,rok,punkty_ladowania_razem,punkty_ac,punkty_dc,ludnosc,punkty_ladowania_na_100_tys_mieszkancow
Irlandia,2023,2825.0,2355.0,470.0,5271395,53.59112720636568
Irlandia,2024,3588.0,2802.0,786.0,5351681,67.04435484850461
Irlandia,2025,3890.0,2776.0,1114.0,5440278,71.5036988918581
Islandia,2020,386.0,317.0,69.0,364134,106.00493225021557
Islandia,2021,744.0,666.0,78.0,368792,201.73973405063018
Islandia,2022,945.0,828.0,117.0,376248,251.16412578937295
Islandia,2023,1610.0,1384.0,230.0,387758,415.2074231866267
Islandia,2024,2548.0,2000.0,549.0,383567,664.2907236545375
Islandia,2025,3216.0,2421.0,812.0,389444,825.7926685223035
Liechtenstein,2020,13.0,3.0,10.0,38747,33.55098459235554
Liechtenstein,2021,53.0,38.0,15.0,39055,135.70605556266804
Liechtenstein,2022,73.0,57.0,16.0,39308,185.71283199348733
Liechtenstein,2023,103.0,74.0,30.0,39677,259.59623963505305
Liechtenstein,2024,108.0,78.0,31.0,40015,269.89878795451705
Liechtenstein,2025,79.0,52.0,27.0,40886,193.22017316440835
Litwa,2020,123.0,70.0,53.0,2809977,4.377260027395242
Litwa,2021,127.0,71.0,56.0,2810761,4.518349301132327
Litwa,2022,428.0,371.0,57.0,2805998,15.253040094825442
Litwa,2023,1313.0,1039.0,274.0,2857279,45.952810348586894
Litwa,2024,2947.0,1707.0,1240.0,2885891,102.11750894264543
Litwa,2025,4713.0,2744.0,1969.0,2890664,163.0421245776057
Luksemburg,2020,1065.0,1053.0,12.0,626108,170.09844946878175
Luksemburg,2021,1027.0,1020.0,14.0,634730,161.80108077450254
Luksemburg,2022,2358.0,2252.0,108.0,645397,365.3565169965153
Luksemburg,2023,2322.0,2143.0,180.0,660809,351.3874659697431
Luksemburg,2024,2651.0,2310.0,341.0,672050,394.46469756714527
Luksemburg,2025,3238.0,2729.0,509.0,681973,474.7988556731718
Malta,2020,,97.0,,514855,
Malta,2021,,95.0,,516125,
Malta,2022,,12.0,,520174,
Malta,2023,,101.0,,542051,
Malta,2024,,120.0,4.0,563443,
Malta,2025,113.0,109.0,4.0,574250,19.677840661732695
Niemcy,2020,41199.0,36132.0,5067.0,83166711,49.53784934455326
Niemcy,2021,57974.0,51041.0,6933.0,83155031,69.71797052183169
Niemcy,2022,83816.0,70997.0,12819.0,83237124,100.69545411011559
Niemcy,2023,120612.0,97704.0,22908.0,83118501,145.10848794060902
Niemcy,2024,159958.0,124484.0,35474.0,83456045,191.66736214255062
Niemcy,2025,200830.0,150477.0,50353.0,83577140,240.2929796353405
Norwegia,2020,13823.0,10199.0,3624.0,5367580,257.52760089276734
Norwegia,2021,17437.0,13081.0,4356.0,5391369,323.42434732254463
Norwegia,2022,20705.0,15082.0,5623.0,5425270,381.63999211099167
Norwegia,2023,24623.0,16776.0,7847.0,5488984,448.5893928639617
Norwegia,2024,30224.0,20353.0,9871.0,5550203,544.5566585582545
Norwegia,2025,26949.0,15725.0,11224.0,5594340,481.7190231555465
Polska,2020,1586.0,1161.0,425.0,37958138,4.178287143589604
Polska,2021,2510.0,1986.0,524.0,37073357,6.770360720233671
Polska,2022,3449.0,2597.0,852.0,36889761,9.349477758882744
Polska,2023,6091.0,4477.0,1614.0,36753736,16.572464905336428
Polska,2024,9555.0,6549.0,3006.0,36620970,26.091608168762324
Polska,2025,14521.0,8398.0,6123.0,36497495,39.78629218251828
Portugalia,2020,2353.0,2048.0,305.0,10375395,22.67865464399187
Portugalia,2021,3686.0,3094.0,592.0,10394297,35.461753690509326
Portugalia,2022,6533.0,5223.0,1310.0,10599117,61.63720996758504
Portugalia,2023,7305.0,5582.0,1723.0,10929704,66.83621075191057
Portugalia,2024,12119.0,8809.0,3310.0,11204347,108.16337623245691
Portugalia,2025,15647.0,10654.0,4993.0,11387222,137.4084039109802
Rumunia,2020,477.0,326.0,151.0,19328838,2.4678151888902997
Rumunia,2021,1097.0,810.0,287.0,19201662,5.713047131024387
Rumunia,2022,1479.0,1067.0,412.0,19043098,7.766593439785901
Rumunia,2023,2723.0,1817.0,937.0,19055228,14.290041557099185
Rumunia,2024,4566.0,2660.0,1906.0,19067576,23.946410387980098
Rumunia,2025,7112.0,3576.0,3536.0,19043151,37.34676052298278
Szwajcaria,2020,5506.0,4573.0,933.0,8606033,63.9783742404892
