"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,,,
"2010",0,0,,,,
"2011",0,0,,,0.01,
"2012",0.01,0,,,0,
"2013",,0,,2.19,0,
"2014",0.01,0,,1.94,0.17,
"2015",0.02,0.01,,1.78,0.01,
"2016",0.01,0.01,,1.84,,
"2017",0.01,0,,3.42,0,
"2018",0.04,0.01,,,,
"2019",0.06,0.02,,,,
"2020",0.12,0.05,,0,,
"2021",0.42,0.13,,,,
"2022",1.01,0.08,,,,
"2023",8.46,0.34,,,,
"2024",9.84,1.46,,0.06,,
"2025",17.63,4.42,,0.71,,
"2026",18.72,2.2,,0.62,,
