"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",24,78,49,4
"2021",57,139,56,6
"2022",77,167,68,14
"2023",32,258,82,27
"2024",32,404,107,34
"2025",38,575,224,90
"2026",41,553,295,133
