"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",,226,12
"2021",10,967,53
"2022",17,1600,87
"2023",16,1593,81
"2024",23,2142,28
"2025",24,2586,22
"2026",20,2536,18
