"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",3305,9376,280
"2021",3723,13038,239
"2022",3918,17584,389
"2023",7316,24817,280
"2024",8936,36026,269
"2025",9215,42565,161
"2026",8002,42284,236
