"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",7,309,10
"2021",6,771,33
"2022",5,1024,38
"2023",11,1755,51
"2024",7,2596,57
"2025",16,3489,71
"2026",73,4536,101
