"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,19000,50,
2009,,,,19000,50,
2010,,,,21000,50,
2011,,,,29378,,
2012,10,,,40223,18,
2013,15,6,,48368,29,
2014,188,9,,56368,30,
2015,211,23,,52383,29,
2016,241,26,,52379,81,
2017,312,49,,52043,146,
2018,442,89,,50611,151,
2019,658,124,,49213,166,
2020,1205,196,,47842,200,
2021,2106,338,,47940,219,
2022,3832,568,,48038,238,
2023,6369,856,,48136,257,
2024,9410,1390,,44532,843,
2025,11025,4022,,43256,850,
2026,11848,5209,0,43133,860,0
