"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",114,160,30,121
"2021",56,412,48,8
"2022",160,572,100,20
"2023",190,1127,231,66
"2024",258,2053,595,100
"2025",404,3966,1327,426
"2026",460,4160,1673,602
