"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",626,2350,634,58
"2021",200,3573,805,120
"2022",203,4888,1215,325
"2023",368,6211,3998,618
"2024",544,7327,7292,1001
"2025",620,8631,10418,1828
"2026",676,9023,11993,2535
