"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",870,1051,127
"2021",639,2069,386
"2022",126,3898,1199
"2023",691,4334,557
"2024",809,7470,530
"2025",744,9411,499
"2026",631,9978,445
