"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,,
"2009",0,0,,,,
"2010",0,0,,,,
"2011",0,0,,,50,
"2012",92,0,,,3,
"2013",,1,,14312,3,
"2014",46,22,,11339,1000,
"2015",119,106,,13288,57,
"2016",44,83,,13715,,
"2017",77,34,,25391,3,
"2018",192,45,,,,
"2019",229,94,,,,
"2020",891,398,,1,,
"2021",2968,915,,,,
"2022",7042,543,,,,
"2023",65708,2651,,,,
"2024",96497,14300,,541,,
"2025",191222,47969,,7649,,
"2026",94096,11074,,3122,,
