"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,,0.1,
"2010",,,,,0.4,
"2011",,,,,,
"2012",,,,,,
"2013",0.73,,,0,0.21,
"2014",1,,,,3.56,
"2015",1.46,,,,0.24,
"2016",2.32,0.05,,0.05,,
"2017",2.82,,,,,
"2018",2.6,0.05,,,,
"2019",4.97,0.31,,,,
"2020",9.72,0.18,,,,
"2021",17.26,2.07,,,,
"2022",18.74,6.56,,,,
"2023",19.98,3.84,,,,
"2024",23.15,5.56,,,,
"2025",26.32,4.12,,,,
"2026",31.63,0,,,,
