"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",82,102,183,44
"2021",53,161,233,67
"2022",82,250,478,106
"2023",132,663,1545,119
"2024",229,1153,2732,512
"2025",243,1478,4404,996
"2026",264,1586,5127,1452
