"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",8,2938,89
"2021",6,5309,71
"2022",5,7762,2132
"2023",39,15882,4975
"2024",58,30315,59
"2025",50,39396,2399
"2026",50,41438,2766
