"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",2,34,1,
"2021",19,118,,
"2022",19,126,181,
"2023",138,2291,658,3
"2024",325,2460,2696,98
"2025",527,7819,5777,732
"2026",640,10953,8828,1082
